docid	document_content
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
1	"""布控-任务管理：支持新建布控任务，可针对库模块中已创建的人像库、车辆库、船舶库等进行布控；支持设置布控时间、精确/模糊阈值；开启智能布控，可在告警后自动布控相关区域； 支持多种方式选源，细粒度配置任务权限。"""
2	"""布控-结果查看：支持按任务权限过滤，查看各类告警信息、人像档案、历史告警记录、活动轨迹，进行告警研判、设置处理，并在地图上直观展示告警分布。通过多维度的告警统计分析以及趋势观察，可以全面评估布控质量，发现布控存在的问题，持续优化布控系统。"""
